MsgID.GLOBAL_POSITION,1520864175.4756801,-122.3957515,37.7932806,-0.0440000
MsgID.LOCAL_VELOCITY,1520864175.4756801,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.4758050,0.0769828,-0.0192577,0.0273987
MsgID.LOCAL_VELOCITY,1520864175.4758050,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4759340,-122.3957517,37.7932824,-0.0270000
MsgID.LOCAL_VELOCITY,1520864175.4759340,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.5136452,0.1779920,-0.0290220,0.0026968
MsgID.LOCAL_VELOCITY,1520864175.5136452,0.0000070,-0.0000048,0.0000103
MsgID.GLOBAL_POSITION,1520864175.5138991,-122.3957522,37.7932831,-0.0020000
MsgID.LOCAL_VELOCITY,1520864175.5138991,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.7639308,0.1645848,0.0935503,-0.0233996
MsgID.LOCAL_VELOCITY,1520864175.7639308,0.0000034,0.0000055,0.0000285
MsgID.GLOBAL_POSITION,1520864175.7641060,-122.3957509,37.7932830,0.0230000
MsgID.LOCAL_VELOCITY,1520864175.7641060,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520864176.0096090,True,True
MsgID.GLOBAL_HOME,1520864176.0117309,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1520864176.0139930,-122.3957511,37.7932816,0.0530000
MsgID.LOCAL_VELOCITY,1520864176.0139930,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864176.0142100,0.0078253,0.0711986,-0.0530650
MsgID.LOCAL_VELOCITY,1520864176.0142100,-0.0000059,-0.0000045,0.0000237
MsgID.GLOBAL_POSITION,1520864176.2637491,-122.3957515,37.7932811,0.3330000
MsgID.LOCAL_VELOCITY,1520864176.2637491,0.0000000,0.0000000,-2.1000000
MsgID.LOCAL_POSITION,1520864176.2639711,-0.0402736,0.0389852,-0.3337650
MsgID.LOCAL_VELOCITY,1520864176.2639711,0.0011623,0.0054625,-2.1059210
MsgID.GLOBAL_POSITION,1520864176.5155871,-122.3957504,37.7932814,1.2110000
MsgID.LOCAL_VELOCITY,1520864176.5155871,0.0000000,0.0000000,-4.0300000
MsgID.LOCAL_POSITION,1520864176.5158160,-0.0061898,0.1366291,-1.2111597
MsgID.LOCAL_VELOCITY,1520864176.5158160,0.0054847,0.0081923,-4.0371714
MsgID.GLOBAL_POSITION,1520864176.7650330,-122.3957506,37.7932817,2.2620000
MsgID.LOCAL_VELOCITY,1520864176.7650330,0.0000000,0.0000000,-4.5300000
MsgID.LOCAL_POSITION,1520864176.7652271,0.0196026,0.1131184,-2.2628748
MsgID.LOCAL_VELOCITY,1520864176.7652271,0.0026086,-0.0014938,-4.5307865
MsgID.STATE,1520864177.0084522,True,True
MsgID.GLOBAL_HOME,1520864177.0107341,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1520864177.0149179,-122.3957530,37.7932817,3.3350000
MsgID.LOCAL_VELOCITY,1520864177.0149179,0.0000000,0.0000000,-2.8500000
MsgID.LOCAL_POSITION,1520864177.0151670,0.0195961,-0.0992850,-3.3374314
MsgID.LOCAL_VELOCITY,1520864177.0151670,0.0005264,-0.0062117,-2.8489826
MsgID.GLOBAL_POSITION,1520864177.2659211,-122.3957533,37.7932817,3.7470000
MsgID.LOCAL_VELOCITY,1520864177.2659211,0.0000000,0.0000000,-0.3700000
MsgID.LOCAL_POSITION,1520864177.2661500,0.0196026,-0.1229406,-3.7470708
MsgID.LOCAL_VELOCITY,1520864177.2661500,0.0004955,-0.0058470,-0.3782488
MsgID.GLOBAL_POSITION,1520864177.5152919,-122.3957523,37.7932819,3.5660000
MsgID.LOCAL_VELOCITY,1520864177.5152919,0.3800000,0.0000000,1.5000000
